Composite,,
,,
AREA,2023-24,2020
India,71,66
Kerala,79,75
Uttarakhand,79,72
Tamil Nadu,78,74
Goa,77,72
Himachal Pradesh,77,74
Punjab,76,68
Sikkim,76,71
Karnataka,75,72
Andhra Pradesh,74,72
Gujarat,74,69
Telangana,74,69
Maharashtra,73,70
Haryana,72,67
Manipur,72,64
Mizoram,72,68
Tripura,71,65
West Bengal,70,62
Chhattisgarh,67,61
Madhya Pradesh,67,62
Rajasthan,67,60
Uttar Pradesh,67,60
Odisha,66,61
Arunachal Pradesh,65,60
Assam,65,57
Meghalaya,63,60
Nagaland,63,61
Jharkhand,62,56
Bihar,57,52
